n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
100,6,2,log2,30,RFR,random,IYR,2019-04-01
100,4,3,log2,30,RFR,random,VOX,2019-04-01
200,6,2,log2,20,RFR,random,SPY,2019-05-01
50,4,2,log2,10,RFR,random,XLE,2019-05-01
100,4,3,log2,30,RFR,random,XLB,2019-05-01
100,4,3,log2,30,RFR,random,XLK,2019-05-01
50,2,3,sqrt,10,RFR,random,XLI,2019-05-01
200,4,1,sqrt,20,RFR,random,XLF,2019-05-01
200,6,3,sqrt,30,RFR,random,XLP,2019-05-01
200,6,3,sqrt,30,RFR,random,XLY,2019-05-01
50,2,3,sqrt,10,RFR,random,XLV,2019-05-01
50,2,3,sqrt,10,RFR,random,XLU,2019-05-01
200,6,2,log2,20,RFR,random,IYR,2019-05-01
100,6,2,log2,30,RFR,random,VOX,2019-05-01
200,6,2,log2,20,RFR,random,SPY,2019-06-03
100,4,3,log2,30,RFR,random,XLE,2019-06-03
50,2,3,sqrt,10,RFR,random,XLB,2019-06-03
100,4,3,log2,30,RFR,random,XLI,2019-06-03
50,2,3,sqrt,10,RFR,random,XLK,2019-06-03
200,2,2,log2,30,RFR,random,XLF,2019-06-03
50,6,2,log2,20,RFR,random,XLP,2019-06-03
200,6,3,sqrt,30,RFR,random,XLV,2019-06-03
200,6,3,sqrt,30,RFR,random,XLY,2019-06-03
50,2,3,sqrt,10,RFR,random,XLU,2019-06-03
50,2,3,sqrt,10,RFR,random,IYR,2019-06-03
100,4,3,log2,30,RFR,random,VOX,2019-06-03
200,6,2,log2,20,RFR,random,SPY,2019-07-01
50,2,3,sqrt,10,RFR,random,XLE,2019-07-01
50,2,3,sqrt,10,RFR,random,XLK,2019-07-01
100,4,3,log2,30,RFR,random,XLI,2019-07-01
100,4,3,log2,30,RFR,random,XLB,2019-07-01
200,6,3,sqrt,30,RFR,random,XLF,2019-07-01
200,6,3,sqrt,30,RFR,random,XLP,2019-07-01
200,6,3,sqrt,30,RFR,random,XLV,2019-07-01
200,6,3,sqrt,30,RFR,random,XLU,2019-07-01
200,6,3,sqrt,30,RFR,random,XLY,2019-07-01
50,2,3,sqrt,10,RFR,random,VOX,2019-07-01
200,6,3,sqrt,30,RFR,random,IYR,2019-07-01
200,6,2,log2,20,RFR,random,SPY,2019-08-01
200,6,3,sqrt,30,RFR,random,XLE,2019-08-01
200,6,3,sqrt,30,RFR,random,XLB,2019-08-01
200,6,3,sqrt,30,RFR,random,XLI,2019-08-01
200,6,3,sqrt,30,RFR,random,XLK,2019-08-01
200,6,3,sqrt,30,RFR,random,XLF,2019-08-01
200,6,3,sqrt,30,RFR,random,XLP,2019-08-01
50,2,3,sqrt,10,RFR,random,XLY,2019-08-01
200,6,3,sqrt,30,RFR,random,XLU,2019-08-01
200,6,3,sqrt,30,RFR,random,IYR,2019-08-01
200,6,3,sqrt,30,RFR,random,XLV,2019-08-01
100,4,3,log2,30,RFR,random,VOX,2019-08-01
200,6,2,log2,20,RFR,random,SPY,2019-09-03
200,6,3,sqrt,30,RFR,random,XLE,2019-09-03
100,6,2,log2,30,RFR,random,XLK,2019-09-03
