subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,Modelo,Metodo,ETF,date
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-06-03
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLB,2019-06-03
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLY,2019-06-03
0.6,1,0,500,3,0.01,0,0.5,XGBR,random,XLF,2019-06-03
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLV,2019-06-03
0.8,1,0,500,3,0.01,0.5,0.7,XGBR,random,XLE,2019-06-03
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2019-06-03
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLP,2019-06-03
0.6,1.5,0.1,500,3,0.01,0,0.5,XGBR,random,VOX,2019-06-03
0.6,1,0,500,7,0.01,0,0.7,XGBR,random,IYR,2019-06-03
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-07-01
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLI,2019-07-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-07-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLB,2019-07-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-07-01
0.8,1,0,500,3,0.05,0,0.7,XGBR,random,XLF,2019-07-01
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLV,2019-07-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,IYR,2019-07-01
0.8,1,0,500,3,0.01,0.5,0.7,XGBR,random,XLE,2019-07-01
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2019-07-01
0.6,1,0,25,7,0.05,0.5,0.5,XGBR,random,XLP,2019-07-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,VOX,2019-07-01
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-08-01
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLI,2019-08-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-08-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-08-01
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,random,XLB,2019-08-01
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLV,2019-08-01
0.8,1,0,500,3,0.05,0,0.7,XGBR,random,XLF,2019-08-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLE,2019-08-01
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2019-08-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,IYR,2019-08-01
0.6,1.5,0,25,3,0.05,0.5,0.7,XGBR,random,XLP,2019-08-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,VOX,2019-08-01
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-09-03
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLI,2019-09-03
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-09-03
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-09-03
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,XLB,2019-09-03
0.6,1.5,0.1,500,3,0.01,0,0.5,XGBR,random,XLE,2019-09-03
0.6,1.5,0.1,500,3,0.01,0,0.5,XGBR,random,XLF,2019-09-03
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLP,2019-09-03
0.6,1.5,0.1,25,7,0.01,0,0.5,XGBR,random,XLU,2019-09-03
0.6,1,0,500,3,0.01,0,0.5,XGBR,random,IYR,2019-09-03
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLV,2019-09-03
0.6,1.5,0.1,500,3,0.01,0,0.5,XGBR,random,VOX,2019-09-03
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-10-01
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLI,2019-10-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-10-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLB,2019-10-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-10-01
0.8,1,0,500,3,0.01,0.5,0.7,XGBR,random,XLE,2019-10-01
0.6,1,0,500,3,0.01,0,0.5,XGBR,random,XLF,2019-10-01
0.8,1.5,0.1,25,7,0.05,0,0.7,XGBR,random,XLU,2019-10-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLP,2019-10-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,VOX,2019-10-01
0.6,1,0,500,3,0.01,0,0.5,XGBR,random,IYR,2019-10-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLV,2019-10-01
0.6,1,0.1,25,7,0.05,0.5,0.7,XGBR,random,SPY,2019-11-01
0.8,1.5,0.1,25,7,0.01,0.5,0.7,XGBR,random,XLI,2019-11-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLK,2019-11-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLY,2019-11-01
0.6,1,0.1,25,7,0.01,0.5,0.5,XGBR,random,XLB,2019-11-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLE,2019-11-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLU,2019-11-01
0.8,1,0,500,7,0.01,0,0.5,XGBR,random,XLF,2019-11-01
0.6,1,0.1,25,3,0.05,0,0.7,XGBR,random,XLP,2019-11-01
0.8,1.5,0.1,500,7,0.01,0,0.5,XGBR,random,XLV,2019-11-01
0.6,1.5,0.1,500,3,0.01,0,0.5,XGBR,random,VOX,2019-11-01
0.6,1,0,500,7,0.01,0,0.7,XGBR,random,IYR,2019-11-01
